동 이름,노인교실,경로당,노인복지관,병원,상권,총 인구,노인 인구,도시공원,버스정류장,공공체육시설 개수,공공기관,노인시설
가야동,2,29,1,41,616,36332,8092,3,51,0,2,32
감만동,2,25,0,19,294,20161,5389,3,58,3,2,27
감전동,1,8,0,12,684,13543,3054,1,56,4,6,9
감천동,2,26,0,21,387,25023,6687,2,59,6,4,28
강동동,0,20,0,1,176,4332,1480,0,91,6,1,20
개금동,2,41,0,83,777,57107,10762,4,86,0,3,43
거제동,2,46,0,63,1042,62482,11984,2,140,0,16,48
광복동1가,0,0,0,9,333,255,86,0,0,7,0,0
광복동2가,0,0,0,0,240,186,60,1,0,0,0,0
광복동3가,0,0,0,0,250,186,60,0,0,0,0,0
광안동,2,28,1,141,1529,67680,13541,4,72,0,4,31
괘법동,1,8,1,44,912,22311,3558,1,40,0,2,10
괴정동,2,38,1,101,1237,58855,14181,1,100,0,7,41
구랑동,0,0,0,0,0,0,0,0,10,0,0,0
구서동,1,23,0,98,902,53469,9821,5,93,0,8,24
구평동,1,9,0,4,155,11564,1638,4,76,0,1,10
구포동,2,32,1,56,1196,60259,11430,10,105,0,3,35
금곡동,7,25,0,23,310,38404,8624,14,58,0,1,32
금사동,3,7,0,10,15,4000,1150,5,42,2,3,10
금성동,0,4,0,0,72,1056,275,0,24,0,2,4
기장읍,2,87,1,80,1529,52662,11320,32,251,0,2,90
낙민동,0,14,0,14,0,6082,1134,5,29,0,2,14
남부민동,1,14,0,0,184,14263,4692,2,31,0,2,15
남산동,0,11,0,47,602,29170,6619,6,56,0,4,11
남천동,1,10,1,87,1014,26162,2746,1,55,0,2,12
남포동1가,0,0,0,0,132,210,40,0,2,0,0,0
남포동2가,0,0,0,10,92,110,53,0,1,1,0,0
남포동3가,0,0,0,0,124,150,70,0,0,1,0,0
남포동4가,0,0,0,1,38,170,60,0,7,13,1,0
남포동5가,0,0,0,7,5,150,30,0,8,0,0,0
남포동6가,0,0,0,15,200,150,50,0,2,0,0,0
남항동1가,0,0,0,4,119,2168,664,0,8,0,1,0
남항동2가,0,1,0,3,105,2168,664,0,8,0,1,1
남항동3가,1,1,0,0,110,2168,664,0,8,0,0,2
노포동,1,4,0,0,71,4912,1368,0,16,0,0,5
녹산동,0,4,0,0,767,34231,3889,1,44,0,0,4
눌차동,0,5,0,0,0,1395,320,0,0,0,0,5
다대동,2,38,0,73,902,66992,12362,26,151,0,4,40
당감동,3,40,0,77,646,45076,9488,5,73,0,3,43
당리동,0,18,0,59,615,26716,5373,3,46,0,4,18
대교동1가,0,0,0,5,0,0,0,0,8,0,1,0
대교동2가,1,1,1,31,0,0,0,0,5,0,1,3
대연동,3,47,1,193,2324,93403,16185,18,210,0,8,51
대저1동,1,25,1,5,425,6589,2178,1,130,0,2,27
대저2동,0,25,0,5,431,7073,1690,5,170,3,2,25
대창동1가,0,1,0,1,0,0,0,0,3,0,1,1
대창동2가,0,0,0,1,0,0,0,0,2,0,0,0
대청동1가,0,1,0,3,31,1874,401,0,1,0,3,1
대청동2가,0,1,0,14,32,1324,319,0,4,0,2,1
대청동3가,0,0,0,12,41,1135,352,0,3,0,0,0
대청동4가,0,3,0,2,81,2032,541,0,10,1,0,3
대평동1가,0,2,0,0,0,2168,665,0,5,0,0,2
대평동2가,0,0,0,0,3259,2169,666,0,2,0,0,0
대항동,0,3,0,0,0,642,192,0,7,0,0,3
덕천동,6,26,0,124,853,34684,8632,11,84,0,3,32
덕포동,2,16,0,24,437,21768,4283,4,53,0,7,18
동광동1가,0,0,0,2,71,442,132,0,0,0,1,0
동광동2가,0,0,0,0,32,435,182,0,0,0,0,0
동광동3가,0,0,0,2,21,715,168,0,1,0,0,0
동광동4가,0,0,0,2,8,321,154,0,0,0,0,0
동광동5가,0,1,0,1,23,820,267,0,4,0,0,1
동대신동1가,1,4,0,0,101,5495,1320,0,10,0,1,5
동대신동2가,0,6,0,0,103,7359,2253,0,19,0,1,6
동대신동3가,0,4,0,0,78,7650,1819,0,30,0,1,4
동삼동,4,23,0,35,636,41419,11099,13,152,0,5,27
동선동,0,3,0,1,0,642,192,1,2,0,0,3
두구동,0,6,0,1,116,1559,494,3,44,0,1,6
만덕동,2,33,0,52,666,61574,11077,17,123,0,3,35
망미동,4,23,0,31,587,38738,9426,8,85,4,2,27
명륜동,1,9,1,43,547,24915,3319,1,66,0,1,11
명장동,1,17,0,28,513,29270,6493,10,66,1,3,18
명지동,3,29,0,76,619,82275,5785,25,253,2,2,32
모라동,4,24,0,37,631,39020,9367,10,77,0,6,28
문현동,4,44,0,48,822,22481,5199,10,86,0,4,48
미음동,1,0,0,0,0,0,0,9,22,0,0,1
민락동,1,17,0,17,723,28492,5536,4,30,0,1,18
반송동,5,33,0,52,0,37678,11492,6,54,0,3,38
반여동,5,51,0,87,1268,72734,13621,14,130,0,5,56
범일동,3,20,1,69,1613,24304,6385,2,87,0,3,24
범전동,0,6,0,1,0,7892,1445,1,26,0,0,6
범천동,1,34,1,50,988,32499,6737,0,49,0,2,36
보수동1가,0,8,1,9,72,4146,1032,0,27,1,3,9
보수동2가,0,2,0,2,24,3357,813,0,4,0,0,2
보수동3가,0,0,0,0,100,3119,934,0,0,0,0,0
복천동,0,4,0,8,0,9786,2914,2,27,0,1,4
봉래동1가,0,0,0,0,72,2176,612,0,1,0,0,0
봉래동2가,0,2,0,0,55,2144,669,0,7,0,0,2
봉래동3가,0,2,0,11,45,2554,712,0,7,7,1,2
봉래동4가,0,1,0,2,36,4101,1059,0,9,0,2,1
봉래동5가,1,2,0,2,44,3214,1002,0,17,0,0,3
봉림동,0,8,0,0,0,1056,416,0,38,0,0,8
부곡동,1,33,0,78,906,54074,12349,6,92,0,17,34
부민동1가,0,0,0,0,28,1230,162,0,3,0,0,0
부민동2가,0,0,0,0,107,1385,145,0,0,0,0,0
부민동3가,0,2,0,0,0,1262,183,0,7,0,1,2
부암동,2,29,0,22,471,40542,7356,2,70,0,3,31
부용동1가,1,0,0,0,135,1864,482,0,3,0,0,1
부용동2가,0,1,1,0,0,1920,512,0,1,0,1,2
부전동,0,5,0,335,3170,25635,4247,0,78,0,2,5
부평동1가,0,1,0,8,89,842,250,0,0,0,1,1
부평동2가,0,0,0,11,101,1040,312,0,4,1,0,0
부평동3가,0,0,0,1,150,1581,460,0,3,0,0,0
부평동4가,0,1,0,0,118,1050,320,0,1,0,0,1
사직동,3,26,0,90,1067,55891,8761,8,102,1,3,29
삼락동,0,5,0,4,205,5823,1457,0,38,0,2,5
생곡동,0,3,0,0,0,0,0,4,48,0,0,3
서대신동1가,0,2,0,0,270,13680,2709,1,7,0,0,2
서대신동2가,0,2,0,0,158,8487,1754,0,26,1,1,2
서대신동3가,0,14,0,0,80,7810,1527,2,50,0,3,14
서동,3,17,0,47,679,26254,7317,2,57,0,8,20
석대동,0,1,0,0,46,0,0,3,20,0,0,1
선동,0,3,0,0,0,780,248,1,11,0,0,3
성북동,0,2,1,0,0,428,129,0,48,0,1,3
송정동(강서구),0,3,0,2,328,0,0,6,207,0,0,3
송정동(해운대),0,4,0,7,790,9960,2431,0,33,18,1,4
수안동,3,8,0,62,0,26784,5053,1,34,0,0,11
수영동,0,10,0,42,516,14805,4319,1,21,3,1,10
수정동,0,18,1,46,475,23503,7185,1,101,1,6,19
식만동,0,3,0,0,0,393,153,0,13,0,0,3
신선동1가,1,2,0,1,0,2860,1005,0,8,0,0,3
신선동2가,0,2,0,0,14,2861,1005,0,20,0,0,2
신선동3가,2,3,0,1,30,2861,1006,0,18,6,1,5
신창동1가,0,0,0,2,0,62,20,0,0,5,1,0
신창동2가,0,0,0,1,0,62,20,0,0,0,0,0
신창동3가,0,0,0,0,0,62,20,0,0,0,0,0
신창동4가,0,0,0,0,0,62,20,0,0,0,0,0
신평동,1,18,1,31,636,33005,6071,1,74,0,6,20
신호동,0,7,0,8,0,0,0,4,78,0,0,7
아미동1가,0,0,0,0,33,3388,1196,0,4,0,0,0
아미동2가,0,9,0,0,18,3389,1196,2,48,1,1,9
안락동,0,25,0,75,980,42193,7647,22,89,14,2,25
암남동,0,9,1,0,302,12952,3229,7,53,0,1,10
양정동,3,22,0,57,823,32795,6075,3,96,4,2,25
엄궁동,1,15,0,32,481,27503,3753,7,46,0,2,16
연산동,11,85,2,305,0,143442,29212,18,222,0,31,98
연지동,0,12,0,13,228,20800,4591,1,22,0,1,12
영선동1가,1,0,0,9,22,1988,591,0,7,2,1,1
영선동2가,0,1,0,6,202,1989,591,0,15,2,0,1
영선동3가,0,0,0,6,120,4231,1254,0,6,0,1,0
영선동4가,1,4,0,0,58,4231,1255,0,16,0,0,5
영주동,0,11,1,7,188,11816,3255,2,28,0,2,12
오륜동,0,1,0,1,0,0,0,0,15,1,0,1
온천동,5,27,0,160,1559,73470,14304,14,188,2,3,32
용당동,0,8,0,4,186,8253,1685,1,38,0,1,8
용호동,0,0,34,0,0,82413,16909,8,112,14,4,34
우동,2,47,0,206,2672,82351,13966,17,131,0,3,49
우암동,0,20,0,11,163,12987,3670,4,66,0,1,20
일광면,0,42,1,11,426,25637,3647,4,168,0,1,43
장림동,0,26,1,48,722,38550,6471,3,141,7,2,27
장안읍,0,42,0,9,413,8585,2306,6,150,0,1,42
장전동,3,17,0,66,943,45034,7281,4,84,0,6,20
재송동,3,32,1,69,1028,63145,9609,6,113,0,4,36
전포동,4,33,1,45,1200,43142,4607,3,125,6,2,38
정관읍,0,77,1,73,1031,81775,8786,14,249,0,1,78
좌동,2,41,1,153,1615,89902,13631,19,138,4,6,44
좌천동,1,18,0,5,129,10890,3150,3,34,2,2,19
주례동,1,35,0,49,754,51787,9056,7,142,0,5,36
죽동동,0,3,0,0,0,392,153,0,2,0,0,3
죽림동,0,4,0,0,0,528,208,0,19,0,1,4
중동,3,30,0,90,1242,43245,6947,8,92,0,4,33
중앙동1가,0,0,0,1,222,234,42,0,0,7,0,0
중앙동2가,0,0,0,1,109,234,42,0,0,0,1,0
중앙동3가,0,0,0,2,38,351,63,0,1,6,2,0
중앙동4가,0,0,0,6,76,819,143,0,12,6,1,0
중앙동5가,0,0,0,0,65,117,21,0,3,0,0,0
중앙동6가,0,0,0,5,55,701,126,0,11,0,0,0
중앙동7가,0,0,0,0,39,117,21,0,3,0,0,0
지사동,0,4,0,4,0,0,0,6,77,0,0,4
창선동1가,0,0,0,0,0,62,20,0,0,0,0,0
창선동2가,0,0,0,0,0,62,20,0,0,0,0,0
천성동,1,4,0,0,0,1396,320,1,35,3,0,5
철마면,1,33,0,2,143,7958,2500,4,101,2,1,34
청룡동,1,4,1,5,72,4912,1368,1,24,0,3,6
청학동,1,23,1,18,346,24215,6341,0,90,8,3,25
초량동,2,17,1,48,931,29219,6741,0,71,2,4,20
초읍동,1,15,0,29,447,22163,5835,4,61,0,1,16
초장동,0,2,0,0,25,4401,1556,0,8,0,1,2
충무동1가,0,2,0,0,81,1237,308,0,10,9,0,2
충무동2가,0,2,0,0,77,1237,308,0,0,1,0,2
충무동3가,0,0,0,0,136,1237,308,0,0,6,0,0
칠산동,0,4,0,1,0,0,0,2,12,3,0,4
토성동1가,0,0,0,0,0,1237,308,0,1,7,0,0
토성동2가,0,0,0,0,0,1237,308,0,0,0,0,0
토성동3가,1,0,0,0,0,1237,307,0,3,0,0,1
토성동4가,0,0,0,0,0,1237,307,0,3,0,1,0
토성동5가,0,0,0,0,0,1238,308,0,2,0,1,0
하단동,0,18,0,87,1316,46854,7785,3,70,5,10,18
학장동,1,21,1,33,444,28598,5245,3,66,8,4,23
화명동,2,32,0,107,1027,88691,11126,20,105,0,3,34
화전동,0,1,0,0,0,0,0,4,35,0,0,1
회동동,0,3,0,0,16,4002,1158,6,16,0,1,3
미음동,1,0,0,0,0,0,0,9,21,0,0,1
